Message,Category,cleaned_message
Final notice. Update your info: https://verify-now.online,Spam,final notice update your info httpsverifynowonline
Reset your password now at https://get-rich-fast.biz,Spam,reset your password now at httpsgetrichfastbiz
Your transaction ID is TXN471861. Please keep it for your records.,Transactional,your transaction id is txn471861 please keep it for your records
Your package with tracking ID 162556 has been shipped.,Transactional,your package with tracking id 162556 has been shipped
Earn money fast! Start today: https://login-now-security.xyz,Spam,earn money fast start today httpsloginnowsecurityxyz
Your OTP is 294647. Do not share it with anyone.,Transactional,your otp is 294647 do not share it with anyone
Your OTP is 321646. Do not share it with anyone.,Transactional,your otp is 321646 do not share it with anyone
Check out our latest deals at https://merchant-site.com/receipt,Promotional,check out our latest deals at httpsmerchantsitecomreceipt
Upgrade your plan today: https://merchant-site.com/receipt,Promotional,upgrade your plan today httpsmerchantsitecomreceipt
Final notice. Update your info: https://iphone14winner.com,Spam,final notice update your info httpsiphone14winnercom
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional,invoice for your order is available here httpsmerchantsitecomreceipt
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional,your booking is confirmed view details httpswwwairtelinrecharge
Your booking is confirmed. View details: https://www.myntra.com,Transactional,your booking is confirmed view details httpswwwmyntracom
Your package is waiting. Pay delivery fees at https://netflix-support.com,Spam,your package is waiting pay delivery fees at httpsnetflixsupportcom
Find your perfect gift at https://cleartrip.com,Promotional,find your perfect gift at httpscleartripcom
You're selected! Redeem your reward at https://urgentupdate.co,Spam,youre selected redeem your reward at httpsurgentupdateco
Enjoy 30% off on all products. Shop now at https://trip.com,Promotional,enjoy 30 off on all products shop now at httpstripcom
Track your shipment here: https://bluedart.com/track,Transactional,track your shipment here httpsbluedartcomtrack
Earn money fast! Start today: https://netflix-support.com,Spam,earn money fast start today httpsnetflixsupportcom
Click here to win an iPhone: https://fakewebsite.com,Spam,click here to win an iphone httpsfakewebsitecom
Visit our store: https://www.officialstore.com for more details,Promotional,visit our store httpswwwofficialstorecom for more details
Your transaction ID is TXN230919. Please keep it for your records.,Transactional,your transaction id is txn230919 please keep it for your records
Thanks for your purchase. View invoice: https://trip.com,Transactional,thanks for your purchase view invoice httpstripcom
Invoice for your order is available here: https://amazon.in/sale,Transactional,invoice for your order is available here httpsamazoninsale
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional,login successful from new device if not you visit httpswwwofficialstorecom
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional,thanks for your purchase view invoice httpssecurebankportalinlogin
Find your perfect gift at https://flipkart.com/deals,Promotional,find your perfect gift at httpsflipkartcomdeals
Reset your password now at https://secure-update.cards,Spam,reset your password now at httpssecureupdatecards
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam,urgent your account will be blocked verify at httpsurgentupdateco
Final notice. Update your info: https://login-now-security.xyz,Spam,final notice update your info httpsloginnowsecurityxyz
Click here to win an iPhone: https://netflix-support.com,Spam,click here to win an iphone httpsnetflixsupportcom
Don't miss out! Sale ends soon at https://www.officialstore.com,Promotional,dont miss out sale ends soon at httpswwwofficialstorecom
Earn money fast! Start today: https://get-rich-fast.biz,Spam,earn money fast start today httpsgetrichfastbiz
Visit our store: https://trip.com for more details,Promotional,visit our store httpstripcom for more details
Earn money fast! Start today: https://verify-now.online,Spam,earn money fast start today httpsverifynowonline
Click here to win an iPhone: https://iphone14winner.com,Spam,click here to win an iphone httpsiphone14winnercom
Exclusive deals available here: https://www.officialstore.com,Promotional,exclusive deals available here httpswwwofficialstorecom
Reset your password now at https://fakewebsite.com,Spam,reset your password now at httpsfakewebsitecom
Final notice. Update your info: https://netflix-support.com,Spam,final notice update your info httpsnetflixsupportcom
Visit our store: https://merchant-site.com/receipt for more details,Promotional,visit our store httpsmerchantsitecomreceipt for more details
You have successfully logged into your account.,Transactional,you have successfully logged into your account
Your package is waiting. Pay delivery fees at https://login-now-security.xyz,Spam,your package is waiting pay delivery fees at httpsloginnowsecurityxyz
Visit our store: https://amazon.in/sale for more details,Promotional,visit our store httpsamazoninsale for more details
Introducing our new range. Learn more: https://www.officialstore.com,Promotional,introducing our new range learn more httpswwwofficialstorecom
Upgrade your plan today: https://www.myntra.com,Promotional,upgrade your plan today httpswwwmyntracom
Invoice for your order is available here: https://flipkart.com/deals,Transactional,invoice for your order is available here httpsflipkartcomdeals
You've won a prize! Claim now: https://confirm-payee.click,Spam,youve won a prize claim now httpsconfirmpayeeclick
Check out our latest deals at https://secure.bankportal.in/login,Promotional,check out our latest deals at httpssecurebankportalinlogin
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional,dont miss out sale ends soon at httpssecurebankportalinlogin
Get free recharge. Click here: https://netflix-support.com,Spam,get free recharge click here httpsnetflixsupportcom
Invoice for your order is available here: https://cleartrip.com,Transactional,invoice for your order is available here httpscleartripcom
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional,your booking is confirmed view details httpsmerchantsitecomreceipt
Your dream vacation awaits! Book at https://trip.com,Promotional,your dream vacation awaits book at httpstripcom
Introducing our new range. Learn more: https://trip.com,Promotional,introducing our new range learn more httpstripcom
Reset your password now at https://netflix-support.com,Spam,reset your password now at httpsnetflixsupportcom
Confirm your payment details: https://winfreecash.com,Spam,confirm your payment details httpswinfreecashcom
Upgrade your plan today: https://cleartrip.com,Promotional,upgrade your plan today httpscleartripcom
Track your shipment here: https://amazon.in/sale,Transactional,track your shipment here httpsamazoninsale
Click here to win an iPhone: https://login-now-security.xyz,Spam,click here to win an iphone httpsloginnowsecurityxyz
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional,limited time offer visit httpswwwofficialstorecom to grab your discount
Final notice. Update your info: https://confirm-payee.click,Spam,final notice update your info httpsconfirmpayeeclick
Don't miss out! Sale ends soon at https://www.myntra.com,Promotional,dont miss out sale ends soon at httpswwwmyntracom
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional,thanks for your purchase view invoice httpscleartripcom
Urgent: Your account will be blocked. Verify at https://secure-update.cards,Spam,urgent your account will be blocked verify at httpssecureupdatecards
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional,your dream vacation awaits book at httpsamazoninsale
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional,enjoy 30 off on all products shop now at httpsamazoninsale
Find your perfect gift at https://www.myntra.com,Promotional,find your perfect gift at httpswwwmyntracom
You've won a prize! Claim now: https://winfreecash.com,Spam,youve won a prize claim now httpswinfreecashcom
Your package is waiting. Pay delivery fees at https://verify-now.online,Spam,your package is waiting pay delivery fees at httpsverifynowonline
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional,invoice for your order is available here httpssecurebankportalinlogin
Find your perfect gift at https://secure.bankportal.in/login,Promotional,find your perfect gift at httpssecurebankportalinlogin
Your package with tracking ID 496428 has been shipped.,Transactional,your package with tracking id 496428 has been shipped
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional,enjoy 30 off on all products shop now at httpscleartripcom
Your dream vacation awaits! Book at https://cleartrip.com,Promotional,your dream vacation awaits book at httpscleartripcom
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam,urgent your account will be blocked verify at httpsloginnowsecurityxyz
Urgent: Your account will be blocked. Verify at https://verify-now.online,Spam,urgent your account will be blocked verify at httpsverifynowonline
Your booking is confirmed. View details: https://www.officialstore.com,Transactional,your booking is confirmed view details httpswwwofficialstorecom
Track your shipment here: https://cleartrip.com,Transactional,track your shipment here httpscleartripcom
Check out our latest deals at https://amazon.in/sale,Promotional,check out our latest deals at httpsamazoninsale
Your payment of ₹6139 was successful.,Transactional,your payment of 6139 was successful
Thanks for your purchase. View invoice: https://amazon.in/sale,Transactional,thanks for your purchase view invoice httpsamazoninsale
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional,enjoy 30 off on all products shop now at httpswwwofficialstorecom
Track your shipment here: https://www.myntra.com,Transactional,track your shipment here httpswwwmyntracom
You're selected! Redeem your reward at https://netflix-support.com,Spam,youre selected redeem your reward at httpsnetflixsupportcom
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam,urgent your account will be blocked verify at httpsgetrichfastbiz
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store httpsflipkartcomdeals for more details
"Login successful from new device. If not you, visit https://trip.com",Transactional,login successful from new device if not you visit httpstripcom
"Login successful from new device. If not you, visit https://secure.bankportal.in/login",Transactional,login successful from new device if not you visit httpssecurebankportalinlogin
"Login successful from new device. If not you, visit https://www.myntra.com",Transactional,login successful from new device if not you visit httpswwwmyntracom
Reset your password now at https://verify-now.online,Spam,reset your password now at httpsverifynowonline
Don't miss out! Sale ends soon at https://trip.com,Promotional,dont miss out sale ends soon at httpstripcom
Introducing our new range. Learn more: https://www.myntra.com,Promotional,introducing our new range learn more httpswwwmyntracom
Your booking is confirmed. View details: https://amazon.in/sale,Transactional,your booking is confirmed view details httpsamazoninsale
Confirm your payment details: https://get-rich-fast.biz,Spam,confirm your payment details httpsgetrichfastbiz
